pool;zone;habitat;year;species;sex;replicate;number;Total_read;Reads_with_viral_hit;%_viral_reads;Map_on_Insecta;Map_on_bacteria;Assembled;Nb_of_contigs;Min_contigs_length;Max_contigs_length;Avg_contigs_length;Contigs_with_viral_hit
Cx_U1_20_M_9;U1;U;2020;Cx_quin;M;12;60;3.43E+06;210194;6.12;1319797;507241;1526150;17136;200;63105;1143.23;314
Cx_U1_20_M_10;U1;U;2020;Cx_quin;M;12;60;1.88E+06;116817;6.2;499763;422601;910127;15280;200;40622;1166.09;218
Cx_U1_20_M_11;U1;U;2020;Cx_quin;M;12;60;1.80E+06;99106;5.5;594942;438374;725213;14954;200;40622;1176.36;256
Cx_U1_20_M_12;U1;U;2020;Cx_quin;M;12;60;2.48E+06;192401;7.75;913546;356168;1122669;13132;202;63105;1242.27;252
Cx_U2_20_M_1;U2;U;2020;Cx_quin;M;3;60;2.81E+06;220095;7.82;514012;227151;1965224;17072;200;102000;1116.08;283
Cx_U2_20_M_2;U2;U;2020;Cx_quin;M;3;60;2.99E+06;229410;7.66;418586;718808;1768120;16571;202;102000;1139.77;366
Cx_U2_20_M_3;U2;U;2020;Cx_quin;M;3;45;5.08E+06;307978;6.06;1216580;673053;3046743;15849;202;40622;1146.68;262
Cx_U3_20_M_1;U3;U;2020;Cx_quin;M;3;90;3.45E+06;113149;3.28;492024;311426;2513684;14266;200;102000;1152.46;231
Cx_U3_20_M_2;U3;U;2020;Cx_quin;M;3;64;2.15E+06;250410;11.63;271400;395608;1423257;12819;202;40622;1237.33;246
Cx_U3_20_M_3;U3;U;2020;Cx_quin;M;3;60;2.18E+06;84760;3.88;820590;482177;811431;15174;200;102000;1194.76;253
Cx_U1_19_M_1;U1;U;2019;Cx_quin;M;3;60;2.50E+06;293280;11.71;224465;356142;1832449;10836;207;40622;1308.4;287
Cx_U1_19_M_2;U1;U;2019;Cx_quin;M;3;60;2.98E+06;338858;11.37;275069;338726;2241159;13612;201;63105;1243.08;264
Cx_U1_19_M_3;U1;U;2019;Cx_quin;M;3;55;1.88E+06;253906;13.53;123025;189079;1501079;11135;205;40622;1318.76;231
Cx_R2_21_M_1;R2;R;2021;Cx_quin;M;3;30;6.60E+06;249912;3.79;1233933;1307349;3838544;17835;200;40622;1065.25;306
Cx_R2_21_M_2;R2;R;2021;Cx_quin;M;3;60;3.16E+06;162516;5.15;697713;624084;1737962;15886;200;40622;1133.76;246
Cx_R2_21_M_3;R2;R;2021;Cx_quin;M;3;50;7.77E+06;258261;3.32;2060676;1562340;3940699;22529;200;40622;1005.74;281
Cx_R1_21_M_1;R1;R;2021;Cx_quin;M;2;39;5.18E+06;143621;2.77;2799815;573090;1653813;15890;202;40622;1131.02;235
Cx_R1_21_M_2;R1;R;2021;Cx_quin;M;2;60;1.36E+06;9535;0.7;388556;26409;846323;1495;202;40622;1383.47;148
Cx_R3_21_M_1;R3;R;2021;Cx_quin;M;1;31;7.53E+06;305834;4.06;1805944;1256085;4224077;19075;201;63105;1050.56;306
Cx_R1_20_M_1;R1;R;2020;Cx_quin;M;2;60;4.40E+06;150329;3.42;1058599;807336;2389735;14586;200;40622;1146.58;259
Cx_R1_20_M_2;R1;R;2020;Cx_quin;M;2;67;5.68E+06;394046;6.94;554882;458053;4502694;11248;200;40622;1248.92;282
Cx_R2_20_M_1;R2;R;2020;Cx_quin;M;3;30;8.71E+06;133002;1.53;2056235;1477670;4890283;14268;200;40622;1076.41;263
Cx_R2_20_M_2;R2;R;2020;Cx_quin;M;3;60;3.45E+06;101822;2.95;1549143;476239;1319766;11788;202;40622;1232.39;248
Cx_R2_20_M_3;R2;R;2020;Cx_quin;M;3;46;3.31E+03;839;25.35;1347;117;1803;413;274;40622;2391.32;76
Cx_R3_20_M_1;R3;R;2020;Cx_quin;M;1;26;8.26E+06;103453;1.25;4033091;1065548;2911657;11844;200;102000;1138.12;216
Cx_R1_19_M_1;R1;R;2019;Cx_quin;M;1;10;6.66E+06;144972;2.18;3588384;1033889;1844462;11867;200;102000;1185.23;153
Ae_U1_21_M_1;U1;U;2021;Ae_ae;M;3;62;1.67E+06;53319;3.18;1270392;85028;250828;4105;215;63105;875.44;150
Ae_U1_21_M_2;U1;U;2021;Ae_ae;M;3;64;2.26E+06;4937;0.22;2179672;11752;21411;1836;218;102000;1234.38;86
Ae_U1_21_M_3;U1;U;2021;Ae_ae;M;3;35;5.34E+06;70729;1.33;3047021;1795020;368485;4353;215;102000;938.84;145
Ae_U2_21_M_1;U2;U;2021;Ae_ae;M;1;33;3.18E+06;62812;1.97;2777295;30722;300948;1919;215;102000;1090.25;121
Ae_U3_21_M_1;U3;U;2021;Ae_ae;M;1;30;2.72E+06;127134;4.67;1845971;55861;745482;3078;215;16408;889.78;143
Ae_U1_20_M_1;U1;U;2020;Ae_ae;M;6;60;1.26E+06;170637;13.55;453062;41254;721737;3198;211;102000;1082;252
Ae_U1_20_M_2;U1;U;2020;Ae_ae;M;6;60;1.00E+06;105614;10.52;496885;53127;418426;1400;225;102000;1200.81;237
Ae_U1_20_M_3;U1;U;2020;Ae_ae;M;6;60;1.43E+06;201317;14.08;458794;15407;896418;3966;225;102000;1032.98;263
Ae_U1_20_M_4;U1;U;2020;Ae_ae;M;6;60;2.75E+06;165503;6.02;1588369;115421;940415;3417;218;102000;1057.19;288
Ae_U1_20_M_5;U1;U;2020;Ae_ae;M;6;60;3.40E+06;276779;8.15;295928;157694;2781371;3256;225;102000;1095.57;362
Ae_U1_20_M_6;U1;U;2020;Ae_ae;M;6;59;4.61E+06;183354;3.98;1740532;1072863;1627573;7528;212;102000;874.08;337
Ae_U2_20_M_1;U2;U;2020;Ae_ae;M;4;48;8.73E+06;771546;8.84;622168;1174552;6609173;4171;206;102000;846.45;379
Ae_U2_20_M_2;U2;U;2020;Ae_ae;M;4;30;5.54E+06;78677;1.42;3355463;342678;1600587;3758;209;102000;860.28;332
Ae_U2_20_M_3;U2;U;2020;Ae_ae;M;4;30;5.88E+06;355337;6.04;1837643;709266;3144360;5040;206;102000;836.58;366
